Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.2%,0.093,1067,Below Threshold,"$6,209",1.5-3%,76,Friendly,Maldives,9,,,"$4,688",$2B,7.6%,$475,,1.2%,25%,0.13,77,75,143%,1,31%,64%,0.05,0.3M,38.8%,Asia,$1B,$0B,12/1/2009
2.3%,0.243,11052,Below Threshold,"$1,715",1.5-3%,67,Friendly,Mongolia,13,,3252,$0,$5B,6.4%,$111,192,3.0%,10%,0.217,71,63,84%,1,27%,69%,0.038,2.7M,66.6%,Asia,$0B,$0B,12/1/2009
1.8%,,10392,Below Threshold,,1.5-3%,64,Low,Myanmar,,,14246,,,2.1%,$13,,4.5%,0%,0.17,66,62,1%,1,27%,69%,0.051,51.5M,30.9%,Asia,$0B,$0B,12/1/2009
2.4%,0.325,3506,Below Threshold,$486,1.5-3%,67,Moderate,Nepal,31,,9986,$0,$13B,6.0%,$29,338,3.8%,2%,0.08,68,66,21%,1,38%,57%,0.048,26.5M,16.5%,Asia,$0B,$1B,12/1/2009
2.7%,0.309,157890,Below Threshold,$987,1.5-3%,66,Moderate,Pakistan,21,,83197,$0,$168B,3.0%,$28,560,7.5%,8%,0.145,67,65,56%,1,36%,60%,0.043,170.1M,36.2%,Asia,$1B,$1B,12/1/2009
2.5%,0.471,74785,Below Threshold,"$1,832",1.5-3%,69,Moderate,Philippines,42,,38102,$0,$168B,4.3%,$78,195,2.6%,9%,0.086,72,65,82%,1,36%,61%,0.037,91.9M,45.5%,Asia,$3B,$3B,12/1/2009
1.0%,0.278,24767,Below Threshold,"$38,577",Below 1.5%,82,Very Friendly,Singapore,3,,28262,"$37,504",$192B,4.5%,"$1,704",84,0.2%,69%,0.054,84,79,139%,1,18%,74%,0.088,5.0M,100.0%,Asia,$9B,$16B,12/1/2009
1.9%,0.617,12831,Below Threshold,"$2,057",1.5-3%,74,Friendly,Sri Lanka,40,,9082,$0,$42B,3.3%,$68,256,1.0%,9%,0.157,77,71,79%,1,25%,67%,0.076,20.5M,18.3%,Asia,$1B,$1B,12/1/2009
3.2%,0.838,2893,Below Threshold,$669,Above 3%,67,Moderate,Tajikistan,38,,2333,$0,$5B,5.9%,$40,224,4.6%,10%,0.226,70,64,66%,1,36%,60%,0.034,7.4M,26.5%,Asia,$0B,$0B,12/1/2009
1.1%,0.369,276587,Below Threshold,"$3,979",Below 1.5%,74,Very Friendly,Thailand,32,,107300,$0,$264B,4.1%,$164,264,1.3%,20%,0.06,77,70,100%,1,20%,72%,0.086,66.3M,42.7%,Asia,$20B,$6B,12/1/2009
3.7%,0.11,183,Below Threshold,$788,Above 3%,66,Low,Timor-Leste,157,,,$0,$1B,6.8%,$50,276,5.4%,0%,0.112,67,64,33%,1,48%,49%,0.03,1.0M,28.9%,Asia,$0B,$0B,12/1/2009
2.2%,,48525,Below Threshold,"$4,060",1.5-3%,65,Not Clustered,Turkmenistan,,,19873,$0,$20B,2.1%,$86,,5.2%,2%,,69,61,43%,1,30%,66%,0.042,5.0M,48.1%,Asia,,,12/1/2009
2.3%,0.948,116607,Below Threshold,"$1,182",1.5-3%,68,Low,Uzbekistan,15,,44831,$0,$33B,5.4%,$64,205,4.1%,17%,,71,65,60%,1,30%,65%,0.045,27.8M,36.2%,Asia,$0B,,12/1/2009
1.7%,0.399,140057,Below Threshold,"$1,232",1.5-3%,76,Friendly,Vietnam,39,,53450,$0,$106B,6.5%,$72,"1,050",2.1%,27%,0.101,80,71,111%,1,24%,69%,0.065,86.0M,29.8%,Asia,$3B,$1B,12/1/2009
1.3%,0.37,3880,Below Threshold,"$4,176",Below 1.5%,77,Friendly,Albania,6,,2068,$0,$12B,6.0%,$230,368,1.5%,41%,0.127,80,74,78%,1,24%,67%,0.098,2.9M,51.1%,Europe,$2B,$2B,12/1/2009
1.0%,,517,Below Threshold,,Below 1.5%,,Not Clustered,Andorra,,,,,,6.2%,"$2,762",,0.3%,79%,,,,82%,1,,,,0.1M,88.4%,Europe,,,12/1/2009
0.9%,0.534,62262,Below Threshold,"$45,872",Below 1.5%,80,Very Friendly,Austria,25,,31963,"$42,192",$384B,11.2%,"$5,125",170,0.4%,74%,,83,77,137%,1,15%,68%,0.175,8.4M,65.8%,Europe,$21B,$13B,12/1/2009
1.1%,0.997,60293,Below Threshold,"$5,176",Below 1.5%,71,Friendly,Belarus,10,,26737,"$4,688",$49B,6.1%,$314,900,0.5%,27%,0.117,76,65,102%,1,15%,71%,0.141,9.5M,74.2%,Europe,$1B,$1B,12/1/2009
1.2%,0.545,104194,Below Threshold,"$43,834",Below 1.5%,80,Very Friendly,Belgium,4,,57096,"$42,192",$473B,10.6%,"$4,664",156,0.4%,70%,0.095,83,77,108%,1,17%,66%,0.171,10.8M,97.6%,Europe,$12B,$22B,12/1/2009
0.9%,0.259,30590,Below Threshold,"$4,433",Below 1.5%,76,Moderate,Bosnia and Herzegovina,69,,6161,$0,$17B,9.9%,$440,422,0.7%,38%,0.079,78,73,85%,1,18%,67%,0.148,3.9M,39.2%,Europe,$1B,$0B,12/1/2009
1.1%,0.304,42805,Below Threshold,"$6,524",Below 1.5%,74,Friendly,Bulgaria,18,,17512,"$4,688",$49B,7.2%,$463,616,1.2%,45%,0.113,77,70,140%,1,13%,69%,0.181,7.4M,72.0%,Europe,$4B,$2B,12/1/2009
1.0%,0.214,21555,Below Threshold,"$14,044",Below 1.5%,77,Friendly,Croatia,22,,8722,"$9,376",$62B,7.8%,"$1,095",196,0.5%,51%,0.116,80,73,108%,1,15%,67%,0.174,4.4M,57.3%,Europe,$9B,$1B,12/1/2009
1.2%,0.206,8141,Below Threshold,"$21,588",Below 1.5%,79,Very Friendly,Cyprus,8,,2525,"$18,752",$24B,7.4%,"$2,115",149,0.3%,50%,,81,77,90%,1,18%,71%,0.114,1.1M,67.7%,Europe,$2B,$2B,12/1/2009
1.1%,0.464,108121,Below Threshold,"$18,881",Below 1.5%,77,Friendly,Czech Republic,20,,42044,"$18,752",$197B,8.0%,"$1,498",613,0.4%,64%,0.06,80,74,125%,1,14%,71%,0.15,10.4M,73.3%,Europe,$8B,$4B,12/1/2009
1.1%,0.282,44503,Below Threshold,"$56,227",Below 1.5%,79,Very Friendly,Denmark,6,,18358,"$51,568",$311B,11.5%,"$6,464",135,0.4%,87%,,81,77,124%,1,18%,66%,0.163,5.5M,86.7%,Europe,$6B,$9B,12/1/2009
1.2%,0.481,14745,Below Threshold,"$14,542",Below 1.5%,75,Very Friendly,Estonia,7,,4749,"$14,064",$19B,6.8%,$968,81,0.4%,73%,0.094,80,70,121%,1,15%,67%,0.174,1.3M,68.2%,Europe,$1B,$1B,12/1/2009
,,667,Below Threshold,"$44,317",Above 3%,81,Not Clustered,Faeroe Islands,,,,"$42,192",$2B,,,,,75%,,84,78,115%,1,,,,0.0M,40.7%,Europe,,,12/1/2009
1.1%,0.477,53168,Below Threshold,"$44,838",Below 1.5%,80,Very Friendly,Finland,14,,33259,"$42,192",$239B,9.2%,"$4,121",243,0.3%,83%,,83,77,144%,1,17%,67%,0.167,5.3M,83.4%,Europe,$4B,$5B,12/1/2009
1.3%,0.648,356924,Below Threshold,"$40,488",Below 1.5%,82,Very Friendly,France,7,,253469,"$37,504","$2,620B",11.7%,"$4,776",132,0.4%,72%,,85,78,92%,1,18%,65%,0.166,64.7M,78.1%,Europe,$59B,$46B,12/1/2009
0.8%,0.439,732249,Below Threshold,"$40,270",Below 1.5%,80,Very Friendly,Germany,18,,313249,"$37,504","$3,298B",11.8%,"$4,727",196,0.4%,79%,,83,77,126%,1,14%,66%,0.206,81.9M,74.1%,Europe,$47B,$93B,12/1/2009
1.1%,0.467,94902,Below Threshold,"$28,695",Below 1.5%,81,Friendly,Greece,19,,29436,"$28,128",$321B,10.0%,"$2,861",224,0.4%,42%,,83,78,120%,1,15%,67%,0.189,11.2M,75.9%,Europe,$15B,$3B,12/1/2009
1.0%,0.566,48676,Below Threshold,"$12,635",Below 1.5%,74,Friendly,Hungary,4,,24859,"$9,376",$127B,7.7%,$977,330,0.6%,62%,0.11,78,70,118%,1,15%,69%,0.165,10.0M,68.4%,Europe,$7B,$3B,12/1/2009
1.6%,0.243,2054,Below Threshold,"$38,039",1.5-3%,82,Very Friendly,Iceland,5,,5384,"$37,504",$12B,9.7%,"$3,696",140,0.2%,93%,0.19,84,80,108%,1,21%,67%,0.12,0.3M,93.5%,Europe,$1B,$1B,12/1/2009
1.7%,0.255,40623,Below Threshold,"$49,708",1.5-3%,81,Very Friendly,Ireland,13,,14364,"$46,880",$225B,10.0%,"$5,040",76,0.4%,67%,,83,78,107%,1,21%,68%,0.112,4.5M,61.6%,Europe,$8B,$8B,12/1/2009
,,,Below Threshold,,Above 3%,,Not Clustered,Isle of Man,,,,,,,,,,,,,,,1,,,,0.1M,52.0%,Europe,,,12/1/2009
1.0%,0.677,401592,Below Threshold,"$35,724",Below 1.5%,82,Friendly,Italy,10,,164858,"$32,816","$2,111B",9.4%,"$3,306",314,0.4%,49%,0.048,85,79,150%,1,14%,66%,0.201,59.1M,68.2%,Europe,$42B,$34B,12/1/2009
1.9%,0.283,,Below Threshold,"$3,191",1.5-3%,70,Friendly,Kosovo,52,,2435,$0,$6B,,,163,,,0.141,72,68,,1,,,,1.8M,,Europe,,,12/1/2009
1.0%,0.377,6824,Below Threshold,"$12,082",Below 1.5%,73,Very Friendly,Latvia,16,,4403,"$9,376",$26B,6.8%,$784,279,0.9%,67%,0.162,78,68,109%,1,14%,68%,0.182,2.1M,67.8%,Europe,$1B,$1B,12/1/2009
1.1%,,,Below Threshold,"$134,617",Below 1.5%,82,Not Clustered,Liechtenstein,,,,"$131,264",$5B,,,,,75%,,84,80,98%,1,,,,0.0M,14.5%,Europe,,,12/1/2009
1.2%,0.436,12578,Below Threshold,"$11,714",Below 1.5%,74,Very Friendly,Lithuania,26,,8766,"$9,376",$37B,7.5%,$836,166,0.6%,60%,0.084,79,68,160%,1,15%,69%,0.155,3.2M,66.8%,Europe,$1B,$1B,12/1/2009
1.1%,0.2,10249,Below Threshold,"$99,282",Below 1.5%,81,Friendly,Luxembourg,24,,3956,"$98,448",$49B,8.0%,"$8,127",59,0.2%,87%,,83,78,145%,1,18%,68%,0.14,0.5M,88.2%,Europe,$4B,$4B,12/1/2009
1.1%,0.146,11408,Below Threshold,"$4,434",Below 1.5%,75,Very Friendly,"Macedonia, FYR",4,,2811,$0,$9B,6.9%,$306,150,1.0%,52%,0.101,77,72,93%,1,18%,71%,0.115,2.1M,57.0%,Europe,$0B,$0B,12/1/2009
1.0%,,2497,Below Threshold,"$19,636",Below 1.5%,81,Friendly,Malta,,,777,"$18,752",$8B,8.3%,"$1,669",,0.6%,59%,0.045,83,78,100%,1,16%,70%,0.141,0.4M,94.5%,Europe,$1B,$0B,12/1/2009
1.2%,0.31,4547,Below Threshold,"$1,526",Below 1.5%,69,Friendly,Moldova,10,,3171,$0,$5B,12.5%,$190,228,1.6%,28%,0.205,72,65,59%,1,17%,72%,0.112,3.6M,44.9%,Europe,$0B,$0B,12/1/2009
,,,Below Threshold,"$153,042",Above 3%,,Not Clustered,Monaco,,,,"$150,016",$6B,4.3%,"$6,458",,0.3%,70%,,,,63%,1,,,,0.0M,100.0%,Europe,,,12/1/2009
1.2%,0.263,1822,Below Threshold,"$6,713",Below 1.5%,75,Very Friendly,Montenegro,12,,994,"$4,688",$4B,6.3%,$424,372,0.7%,35%,0.094,77,72,209%,1,20%,68%,0.125,0.6M,62.9%,Europe,$1B,$0B,12/1/2009
1.1%,0.385,169650,Below Threshold,"$48,174",Below 1.5%,81,Very Friendly,Netherlands,8,,78175,"$46,880",$796B,11.9%,"$5,740",164,0.4%,90%,0.02,83,79,122%,1,18%,67%,0.15,16.5M,86.2%,Europe,$18B,$21B,12/1/2009
1.3%,0.407,47077,Below Threshold,"$78,457",Below 1.5%,81,Very Friendly,Norway,7,,29775,"$75,008",$379B,10.1%,"$7,944",87,0.3%,92%,0.043,83,79,111%,1,19%,66%,0.149,4.8M,78.8%,Europe,$5B,$13B,12/1/2009
1.1%,0.422,298787,Below Threshold,"$11,295",Below 1.5%,76,Very Friendly,Poland,32,,94002,"$9,376",$431B,7.2%,$813,395,0.5%,59%,,80,72,117%,1,15%,72%,0.134,38.2M,61.0%,Europe,$10B,$8B,12/1/2009
0.9%,0.423,57411,Below Threshold,"$22,153",Below 1.5%,79,Very Friendly,Portugal,5,,24152,"$18,752",$234B,10.8%,"$2,382",328,0.3%,48%,,82,76,112%,1,15%,67%,0.178,10.6M,60.0%,Europe,$12B,$5B,12/1/2009
1.1%,0.451,80307,Below Threshold,"$8,069",Below 1.5%,74,Friendly,Romania,9,,34882,"$4,688",$164B,5.6%,$431,202,1.3%,37%,0.173,77,70,115%,1,15%,70%,0.148,20.4M,53.7%,Europe,$2B,$2B,12/1/2009
1.2%,0.483,1574368,Below Threshold,"$8,616",Below 1.5%,69,Moderate,Russian Federation,29,,646915,"$4,688","$1,223B",6.2%,$525,320,1.1%,29%,0.153,75,63,160%,1,15%,72%,0.133,141.9M,73.6%,Europe,$12B,$24B,12/1/2009
1.1%,,,Below Threshold,,Below 1.5%,83,Friendly,San Marino,,,,,,5.1%,"$3,548",,0.3%,54%,0.057,86,80,98%,1,,,,0.0M,94.1%,Europe,,,12/1/2009
1.0%,0.34,46127,Below Threshold,"$5,498",Below 1.5%,74,Friendly,Serbia,13,,15177,"$4,688",$40B,10.5%,$577,279,0.7%,38%,0.118,76,71,124%,1,17%,69%,0.137,7.3M,55.2%,Europe,$1B,$1B,12/1/2009
1.1%,0.475,33890,Below Threshold,"$16,196",Below 1.5%,75,Very Friendly,Slovak Republic,18,,16735,"$14,064",$87B,9.2%,"$1,475",257,0.7%,70%,,79,71,101%,1,15%,73%,0.121,5.4M,55.0%,Europe,$3B,$2B,12/1/2009
1.1%,0.367,15310,Below Threshold,"$24,126",Below 1.5%,79,Very Friendly,Slovenia,6,,7097,"$23,440",$49B,9.2%,"$2,235",260,0.3%,64%,0.059,82,76,103%,1,14%,70%,0.165,2.0M,50.1%,Europe,$3B,$1B,12/1/2009
1.1%,0.571,288237,Below Threshold,"$31,368",Below 1.5%,82,Very Friendly,Spain,47,,127732,"$28,128","$1,454B",9.6%,"$3,058",213,0.4%,62%,,85,79,112%,1,15%,68%,0.17,46.4M,78.2%,Europe,$60B,$23B,12/1/2009
1.2%,0.539,43744,Below Threshold,"$43,640",Below 1.5%,81,Very Friendly,Sweden,16,,45407,"$42,192",$406B,9.9%,"$4,357",122,0.3%,91%,,83,79,112%,1,17%,66%,0.179,9.3M,84.9%,Europe,$10B,$13B,12/1/2009
1.0%,0.287,41598,Below Threshold,"$65,790",Below 1.5%,82,Very Friendly,Switzerland,18,,26968,"$65,632",$509B,11.0%,"$7,277",63,0.4%,81%,0.028,84,80,120%,1,15%,68%,0.167,7.7M,73.6%,Europe,$17B,$13B,12/1/2009
1.8%,0.433,277845,Below Threshold,"$8,626",1.5-3%,74,Friendly,Turkey,6,,97661,"$4,688",$615B,6.7%,$580,223,2.1%,36%,,77,70,88%,1,27%,66%,0.069,71.2M,70.1%,Europe,$26B,$5B,12/1/2009
1.1%,0.572,261813,Below Threshold,"$2,545",Below 1.5%,70,Moderate,Ukraine,27,,114420,$0,$117B,7.8%,$198,736,1.1%,18%,0.209,75,64,119%,1,14%,70%,0.159,46.1M,68.5%,Europe,$4B,$4B,12/1/2009
1.3%,0.349,475108,Below Threshold,"$35,455",Below 1.5%,80,Very Friendly,United Kingdom,12,,196485,"$32,816","$2,208B",9.9%,"$3,512",110,0.5%,84%,0.006,82,78,124%,1,18%,66%,0.164,62.3M,81.0%,Europe,$39B,$61B,12/1/2009
1.7%,0.135,24169,Below Threshold,"$19,251",1.5-3%,76,Very Friendly,Bahrain,9,,9340,"$18,752",$23B,4.5%,$729,36,0.7%,53%,0.079,77,75,118%,1,21%,78%,0.02,1.2M,88.5%,Middle East,$2B,$1B,12/1/2009
1.9%,0.442,577483,Below Threshold,"$4,931",1.5-3%,73,Low,"Iran, Islamic Rep.",9,,213423,"$4,688",$363B,7.2%,$357,344,1.7%,11%,0.12,75,71,72%,1,24%,71%,0.051,73.5M,70.0%,Middle East,$2B,$9B,12/1/2009
3.3%,0.278,106651,Below Threshold,"$3,702",Above 3%,69,Low,Iraq,32,,32846,$0,$112B,4.6%,$143,312,3.1%,1%,0.156,72,65,67%,1,42%,55%,0.034,30.2M,69.0%,Middle East,$1B,$1B,12/1/2009
2.2%,0.319,67029,Below Threshold,"$27,492",1.5-3%,82,Very Friendly,Israel,20,,21463,"$23,440",$206B,7.6%,"$1,973",230,0.4%,63%,0.042,83,80,124%,1,27%,62%,0.104,7.5M,91.8%,Middle East,$5B,$4B,12/1/2009
2.9%,0.311,21254,Below Threshold,"$4,027",1.5-3%,74,Moderate,Jordan,12,,7458,$0,$24B,9.5%,$368,136,1.8%,26%,0.092,75,72,97%,1,36%,61%,0.034,5.9M,82.2%,Middle East,$3B,$1B,12/1/2009
2.1%,0.107,81869,Below Threshold,"$37,161",1.5-3%,74,Moderate,Kuwait,35,,30815,"$32,816",$106B,3.9%,"$1,463",98,1.0%,51%,0.062,75,73,92%,1,25%,72%,0.023,2.9M,98.2%,Middle East,$1B,$7B,12/1/2009
1.3%,0.302,20917,Below Threshold,"$8,274",Below 1.5%,79,Moderate,Lebanon,9,,6652,"$4,688",$35B,7.4%,$604,180,0.9%,30%,0.096,81,77,56%,1,25%,67%,0.083,4.2M,87.1%,Middle East,$7B,$5B,12/1/2009
2.2%,0.216,40264,Below Threshold,"$18,114",1.5-3%,76,Very Friendly,Oman,12,,18279,"$14,064",$48B,3.0%,$511,62,1.0%,27%,0.074,78,74,149%,1,29%,68%,0.024,2.7M,74.6%,Middle East,$1B,$1B,12/1/2009
1.2%,0.113,66120,Below Threshold,"$62,528",Below 1.5%,78,Very Friendly,Qatar,7,,24942,"$60,944",$98B,2.6%,"$1,647",36,0.8%,53%,0.07,79,77,125%,1,15%,84%,0.011,1.6M,98.5%,Middle East,,,12/1/2009
2.1%,0.145,431027,Below Threshold,"$16,013",1.5-3%,75,Very Friendly,Saudi Arabia,21,,175675,"$14,064",$429B,4.1%,$582,79,1.5%,38%,,77,73,167%,1,31%,66%,0.03,26.8M,81.9%,Middle East,$7B,$21B,12/1/2009
2.5%,0.397,62112,Below Threshold,,1.5-3%,75,Low,Syrian Arab Republic,15,,21233,,,3.5%,$95,336,1.4%,17%,0.1,77,73,48%,1,36%,60%,0.036,21.0M,55.3%,Middle East,$4B,$1B,12/1/2009
1.6%,0.141,162602,Below Threshold,"$33,013",1.5-3%,76,Very Friendly,United Arab Emirates,15,,60672,"$32,816",$255B,3.4%,"$1,336",12,0.8%,64%,,77,75,138%,1,14%,86%,0.004,7.7M,83.7%,Middle East,$7B,$10B,12/1/2009
3.3%,0.478,23058,Below Threshold,"$1,252",Above 3%,63,Moderate,"Yemen, Rep.",12,,7764,$0,$28B,5.3%,$65,248,4.8%,10%,0.18,64,61,37%,1,43%,55%,0.027,22.2M,31.2%,Middle East,$1B,$0B,12/1/2009
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,,1,,,,0.1M,87.7%,Oceania,,,12/1/2009
1.4%,0.476,395094,Below Threshold,"$42,722",Below 1.5%,82,Very Friendly,Australia,3,,122108,"$42,192",$927B,9.0%,"$4,118",107,0.4%,74%,0.06,84,79,101%,1,19%,68%,0.133,21.7M,88.6%,Oceania,$28B,$22B,12/1/2009
2.2%,0.412,847,Below Threshold,"$3,432",1.5-3%,69,Friendly,Fiji,46,,,$0,$3B,4.2%,$143,150,2.0%,17%,0.079,72,66,75%,1,29%,66%,0.047,0.9M,51.4%,Oceania,$1B,$0B,12/1/2009
1.7%,,873,Below Threshold,,1.5-3%,76,Not Clustered,French Polynesia,,,,,,,,,,45%,,78,73,79%,1,24%,69%,0.065,0.3M,56.6%,Oceania,$0B,$0B,12/1/2009
1.8%,,,Below Threshold,,1.5-3%,78,Not Clustered,Guam,,,,,,,,,,51%,,81,75,,1,28%,65%,0.071,0.2M,94.0%,Oceania,,,12/1/2009
2.4%,0.318,40,Below Threshold,"$1,320",1.5-3%,68,Moderate,Kiribati,31,,,$0,$0B,11.5%,$143,120,4.9%,9%,,70,65,10%,1,34%,62%,0.038,0.1M,43.7%,Oceania,$0B,$0B,12/1/2009
,0.648,103,Above Threshold,"$2,896",Above 3%,,Moderate,Marshall Islands,17,,,$0,$0B,17.5%,$551,128,3.2%,6%,,,,,1,,,,0.1M,71.1%,Oceania,$0B,,12/1/2009
2.4%,0.587,99,Below Threshold,"$2,669",1.5-3%,69,Low,"Micronesia, Fed. Sts.",16,,,$0,$0B,13.4%,$357,128,3.3%,15%,0.154,69,68,26%,1,37%,59%,0.039,0.1M,22.3%,Oceania,$0B,$0B,12/1/2009
1.6%,,2849,Below Threshold,,1.5-3%,77,Not Clustered,New Caledonia,,,,,,,,,,34%,,81,72,86%,1,24%,67%,0.091,0.2M,66.6%,Oceania,$0B,$0B,12/1/2009
1.4%,0.332,32325,Below Threshold,"$27,562",Below 1.5%,81,Very Friendly,New Zealand,1,,17469,"$23,440",$119B,10.0%,"$2,702",172,0.5%,80%,0.067,83,79,109%,1,21%,67%,0.127,4.3M,86.1%,Oceania,$5B,$3B,12/1/2009
3.1%,0.421,3333,Below Threshold,"$1,180",Above 3%,62,Moderate,Papua New Guinea,51,,,$0,$8B,4.2%,$50,194,5.2%,2%,0.101,64,60,21%,1,39%,58%,0.027,6.7M,13.0%,Oceania,$0B,$0B,12/1/2009
2.8%,0.189,161,Below Threshold,"$2,713",1.5-3%,72,Friendly,Samoa,9,,,$0,$1B,5.7%,$160,224,1.6%,6%,0.121,75,69,,1,39%,57%,0.05,0.2M,20.3%,Oceania,$0B,$0B,12/1/2009
3.3%,0.261,198,Below Threshold,"$1,161",Above 3%,67,Friendly,Solomon Islands,56,,,$0,$1B,7.8%,$91,80,2.8%,4%,0.153,68,66,10%,1,41%,56%,0.032,0.5M,19.6%,Oceania,$0B,$0B,12/1/2009
2.8%,0.275,172,Below Threshold,"$3,076",1.5-3%,72,Friendly,Tonga,25,,,$0,$0B,4.6%,$145,164,1.2%,10%,0.125,75,69,51%,1,38%,57%,0.059,0.1M,23.3%,Oceania,$0B,$0B,12/1/2009
2.8%,0.084,117,Below Threshold,"$2,643",1.5-3%,71,Friendly,Vanuatu,47,,,$0,$1B,3.9%,$103,120,1.6%,8%,0.055,73,69,57%,1,39%,58%,0.039,0.2M,24.3%,Oceania,$0B,$0B,12/1/2009
1.7%,0.41,499,Below Threshold,"$13,978",1.5-3%,76,Friendly,Antigua and Barbuda,21,,,"$9,376",$1B,4.6%,$638,207,0.9%,42%,0.101,78,73,156%,1,27%,66%,0.073,0.1M,26.8%,The Americas,$0B,$0B,12/1/2009
1.7%,1.076,179639,Below Threshold,"$9,457",1.5-3%,76,Moderate,Argentina,26,,76075,"$9,376",$378B,9.4%,$726,453,1.3%,34%,0.157,79,72,131%,1,25%,64%,0.105,40.0M,90.8%,The Americas,$4B,$6B,12/1/2009
1.1%,,2296,Below Threshold,"$24,640",Below 1.5%,75,Not Clustered,Aruba,,,,"$23,440",$2B,,,,,58%,0.108,77,72,126%,1,21%,69%,0.099,0.1M,43.4%,The Americas,$1B,$0B,12/1/2009
1.6%,0.449,1643,Below Threshold,"$22,061",1.5-3%,75,Friendly,"Bahamas, The",31,,,"$18,752",$8B,7.4%,"$1,640",58,1.2%,34%,0.055,78,71,101%,1,23%,70%,0.068,0.4M,82.5%,The Americas,$2B,$0B,12/1/2009
1.3%,,1624,Below Threshold,"$16,461",Below 1.5%,75,Friendly,Barbados,,,,"$14,064",$5B,8.0%,"$1,025",,1.4%,65%,0.092,77,72,121%,1,20%,70%,0.104,0.3M,32.2%,The Americas,$1B,$0B,12/1/2009
2.5%,0.332,414,Below Threshold,"$4,447",1.5-3%,73,Moderate,Belize,44,,,$0,$1B,5.8%,$259,147,1.6%,12%,0.141,76,70,54%,1,36%,60%,0.039,0.3M,45.2%,The Americas,$0B,$0B,12/1/2009
1.2%,,466,Below Threshold,"$88,463",Below 1.5%,80,Not Clustered,Bermuda,,,,"$84,384",$6B,,,,,83%,,82,77,131%,1,,,,0.1M,100.0%,The Americas,$0B,$0B,12/1/2009
2.7%,0.8,14408,Below Threshold,"$1,735",1.5-3%,66,Low,Bolivia,50,,6203,$0,$17B,5.8%,$100,"1,080",3.6%,17%,0.124,68,64,65%,1,37%,59%,0.046,10.0M,66.0%,The Americas,$0B,$0B,12/1/2009
1.6%,0.656,367147,Below Threshold,"$8,373",1.5-3%,73,Moderate,Brazil,119,,240464,"$4,688","$1,620B",8.8%,$733,"2,600",1.6%,39%,0.447,77,69,88%,1,26%,67%,0.067,193.5M,84.0%,The Americas,$6B,$13B,12/1/2009
1.1%,0.423,513937,Below Threshold,"$40,764",Below 1.5%,81,Very Friendly,Canada,5,,251326,"$37,504","$1,371B",11.4%,"$4,528",119,0.5%,80%,0.024,83,79,71%,1,17%,70%,0.139,33.6M,80.8%,The Americas,$16B,$30B,12/1/2009
1.6%,,587,Below Threshold,,1.5-3%,,Not Clustered,Cayman Islands,,,,,,,,,,65%,,,,200%,1,,,,0.1M,100.0%,The Americas,$0B,$0B,12/1/2009
1.4%,0.248,67267,Below Threshold,"$10,142",Below 1.5%,79,Very Friendly,Chile,27,,29484,"$9,376",$172B,7.5%,$760,316,0.8%,42%,0.073,82,76,97%,1,23%,69%,0.089,17.0M,88.4%,The Americas,$2B,$2B,12/1/2009
2.0%,0.803,70850,Below Threshold,"$5,105",1.5-3%,74,Very Friendly,Colombia,20,,30815,"$4,688",$234B,7.0%,$358,208,1.6%,30%,0.13,77,70,92%,1,29%,65%,0.055,45.8M,74.7%,The Americas,$3B,$2B,12/1/2009
1.6%,0.552,7818,Below Threshold,"$6,386",1.5-3%,79,Moderate,Costa Rica,60,,4561,"$4,688",$29B,9.7%,$619,282,0.9%,34%,0.197,81,77,42%,1,26%,68%,0.064,4.6M,70.6%,The Americas,$2B,$0B,12/1/2009
1.0%,,29901,Below Threshold,"$5,499",Below 1.5%,79,Not Clustered,Cuba,,,12346,"$4,688",$62B,11.7%,$651,,0.5%,14%,,81,77,6%,1,18%,70%,0.121,11.3M,76.5%,The Americas,$2B,,12/1/2009
1.3%,,,Below Threshold,,Below 1.5%,76,Not Clustered,Curacao,,,,,,,,,,,,80,72,140%,1,20%,67%,0.13,0.1M,90.0%,The Americas,$0B,$0B,12/1/2009
,0.37,128,Below Threshold,"$6,797",Above 3%,,Friendly,Dominica,13,,,"$4,688",$0B,5.0%,$342,117,1.1%,42%,0.1,,,139%,1,,,,0.1M,67.8%,The Americas,$0B,$0B,12/1/2009
2.2%,0.384,20323,Below Threshold,"$4,703",1.5-3%,73,Moderate,Dominican Republic,13,,6941,"$4,688",$46B,5.4%,$256,324,2.6%,28%,0.181,76,70,87%,1,32%,63%,0.059,9.9M,72.5%,The Americas,$4B,$1B,12/1/2009
2.2%,0.349,30473,Below Threshold,"$4,237",1.5-3%,76,Moderate,Ecuador,64,,12678,$0,$63B,7.1%,$302,600,2.2%,25%,,78,73,90%,1,31%,63%,0.061,14.8M,62.5%,The Americas,$1B,$1B,12/1/2009
